GPU=NVIDIA A100 80GB PCIe MIG 1g.10gb CC=8.0 size=8192 splits=2
size,splits,D,retained_pairs,total_pairs,time_ms,gflops,max_abs_err,l2_rel_err
8192,2,1,1,4,60.701622,18113.38,9.572897685e-01,5.568534751e-03
8192,2,2,3,4,120.083204,9156.25,4.832115950e-03,2.684942864e-05
8192,2,3,4,4,155.278541,7080.90,3.567862336e-03,2.192054115e-05
GPU=NVIDIA A100 80GB PCIe MIG 1g.10gb CC=8.0 size=8192 splits=4
size,splits,D,retained_pairs,total_pairs,time_ms,gflops,max_abs_err,l2_rel_err
8192,4,1,1,16,69.953004,15717.86,9.572897685e-01,5.568534751e-03
8192,4,2,3,16,135.034411,8142.46,4.832115950e-03,2.684942864e-05
8192,4,3,6,16,223.499386,4919.53,2.289950777e-05,1.220574659e-07
8192,4,4,10,16,349.109244,3149.48,9.850541360e-08,5.373596566e-10
8192,4,5,13,16,516.834006,2127.40,5.933517855e-08,3.398068731e-10
8192,4,6,15,16,521.127307,2109.87,5.935330805e-08,3.398042039e-10
8192,4,7,16,16,671.957896,1636.28,5.935350700e-08,3.398042039e-10
GPU=NVIDIA A100 80GB PCIe MIG 1g.10gb CC=8.0 size=8192 splits=6
size,splits,D,retained_pairs,total_pairs,time_ms,gflops,max_abs_err,l2_rel_err
8192,6,1,1,36,86.186714,12757.32,9.572897685e-01,5.568534751e-03
8192,6,2,3,36,146.522505,7504.05,4.832115950e-03,2.684942864e-05
8192,6,3,6,36,244.433684,4498.20,2.289950777e-05,1.220574659e-07
8192,6,4,10,36,445.533864,2467.85,9.850541360e-08,5.373596566e-10
8192,6,5,15,36,680.391261,1616.00,3.949267580e-10,2.317046246e-12
8192,6,6,21,36,1009.745208,1088.90,1.918465387e-12,1.030676090e-14
8192,6,7,26,36,1263.903867,869.93,1.648459147e-12,6.071510152e-15
8192,6,8,30,36,1301.115459,845.05,1.648459147e-12,6.071485333e-15
8192,6,9,33,36,1470.161745,747.88,1.648459147e-12,6.071485332e-15
8192,6,10,35,36,1467.458141,749.26,1.648459147e-12,6.071485332e-15
8192,6,11,36,36,1634.486959,672.70,1.648459147e-12,6.071485332e-15
GPU=NVIDIA A100 80GB PCIe MIG 1g.10gb CC=8.0 size=8192 splits=8
size,splits,D,retained_pairs,total_pairs,time_ms,gflops,max_abs_err,l2_rel_err
8192,8,1,1,64,100.534473,10936.66,9.572897685e-01,5.568534751e-03
8192,8,2,3,64,163.698709,6716.68,4.832115950e-03,2.684942864e-05
8192,8,3,6,64,258.555383,4252.52,2.289950777e-05,1.220574659e-07
8192,8,4,10,64,452.784105,2428.34,9.850541360e-08,5.373596566e-10
8192,8,5,15,64,708.642951,1551.57,3.949267580e-10,2.317046246e-12
8192,8,6,21,64,948.059458,1159.75,1.918465387e-12,1.030676090e-14
8192,8,7,28,64,1244.472248,883.52,1.534772309e-12,3.018149126e-15
8192,8,8,36,64,1690.837269,650.28,1.534772309e-12,3.018010401e-15
8192,8,9,43,64,1947.280879,564.64,1.534772309e-12,3.018010401e-15
8192,8,10,49,64,2231.142044,492.80,1.534772309e-12,3.018010401e-15
8192,8,11,54,64,2490.090361,441.55,1.534772309e-12,3.018010401e-15
8192,8,12,58,64,2704.831804,406.50,1.534772309e-12,3.018010401e-15
8192,8,13,61,64,2774.116667,396.35,1.534772309e-12,3.018010401e-15
8192,8,14,63,64,2805.161276,391.96,1.534772309e-12,3.018010401e-15
8192,8,15,64,64,2813.330325,390.82,1.534772309e-12,3.018010401e-15
