GPU=NVIDIA A100 80GB PCIe MIG 1g.10gb CC=8.0 size=8192 splits=2
size,splits,D,retained_pairs,total_pairs,time_ms,gflops,max_abs_err,l2_rel_err
8192,2,1,1,4,53.280239,20636.39,9.572897685e-01,5.568534751e-03
8192,2,2,3,4,112.707500,9755.44,4.832115950e-03,2.684942864e-05
8192,2,3,4,4,144.937433,7586.11,3.567862336e-03,2.192054115e-05
GPU=NVIDIA A100 80GB PCIe MIG 1g.10gb CC=8.0 size=8192 splits=4
size,splits,D,retained_pairs,total_pairs,time_ms,gflops,max_abs_err,l2_rel_err
8192,4,1,1,16,61.034142,18014.70,9.572897685e-01,5.568534751e-03
8192,4,2,3,16,124.029129,8864.95,4.832115950e-03,2.684942864e-05
8192,4,3,6,16,212.990338,5162.26,2.289950777e-05,1.220574659e-07
8192,4,4,10,16,332.501877,3306.78,9.850541360e-08,5.373596566e-10
8192,4,5,13,16,488.495035,2250.81,5.933517855e-08,3.398068731e-10
8192,4,6,15,16,563.065236,1952.73,5.935330805e-08,3.398042039e-10
8192,4,7,16,16,513.743990,2140.19,5.935350700e-08,3.398042039e-10
GPU=NVIDIA A100 80GB PCIe MIG 1g.10gb CC=8.0 size=8192 splits=6
size,splits,D,retained_pairs,total_pairs,time_ms,gflops,max_abs_err,l2_rel_err
8192,6,1,1,36,72.732115,15117.28,9.572897685e-01,5.568534751e-03
8192,6,2,3,36,139.212582,7898.08,4.832115950e-03,2.684942864e-05
8192,6,3,6,36,231.220685,4755.25,2.289950777e-05,1.220574659e-07
8192,6,4,10,36,353.771290,3107.97,9.850541360e-08,5.373596566e-10
8192,6,5,15,36,505.056520,2177.01,3.949267580e-10,2.317046246e-12
8192,6,6,21,36,830.715746,1323.57,1.918465387e-12,1.030676090e-14
8192,6,7,26,36,966.803074,1137.27,1.648459147e-12,6.071510152e-15
8192,6,8,30,36,1331.500298,825.77,1.648459147e-12,6.071485333e-15
8192,6,9,33,36,1288.846227,853.10,1.648459147e-12,6.071485332e-15
8192,6,10,35,36,1330.510033,826.38,1.648459147e-12,6.071485332e-15
8192,6,11,36,36,1492.521375,736.68,1.648459147e-12,6.071485332e-15
GPU=NVIDIA A100 80GB PCIe MIG 1g.10gb CC=8.0 size=8192 splits=8
size,splits,D,retained_pairs,total_pairs,time_ms,gflops,max_abs_err,l2_rel_err
8192,8,1,1,64,84.181430,13061.21,9.572897685e-01,5.568534751e-03
8192,8,2,3,64,146.736451,7493.10,4.832115950e-03,2.684942864e-05
8192,8,3,6,64,237.116078,4637.02,2.289950777e-05,1.220574659e-07
8192,8,4,10,64,436.255224,2520.34,9.850541360e-08,5.373596566e-10
8192,8,5,15,64,602.245900,1825.69,3.949267580e-10,2.317046246e-12
8192,8,6,21,64,852.482894,1289.78,1.918465387e-12,1.030676090e-14
8192,8,7,28,64,1227.312756,895.87,1.534772309e-12,3.018149126e-15
8192,8,8,36,64,1777.138957,618.70,1.534772309e-12,3.018010401e-15
8192,8,9,43,64,2056.838166,534.56,1.534772309e-12,3.018010401e-15
8192,8,10,49,64,2328.918515,472.11,1.534772309e-12,3.018010401e-15
8192,8,11,54,64,2636.756659,416.99,1.534772309e-12,3.018010401e-15
8192,8,12,58,64,2802.874233,392.28,1.534772309e-12,3.018010401e-15
8192,8,13,61,64,2882.873582,381.39,1.534772309e-12,3.018010401e-15
8192,8,14,63,64,2857.623841,384.76,1.534772309e-12,3.018010401e-15
8192,8,15,64,64,2939.665645,374.03,1.534772309e-12,3.018010401e-15
