GPU=NVIDIA A100 80GB PCIe MIG 1g.10gb CC=8.0 size=4096 splits=2
size,splits,D,retained_pairs,total_pairs,time_ms,gflops,max_abs_err,l2_rel_err
4096,2,1,1,4,9.161981,15001.01,6.605565322e-01,5.566357524e-03
4096,2,2,3,4,15.786656,8706.02,3.101298087e-03,2.683855789e-05
4096,2,3,4,4,19.700349,6976.47,2.572932715e-03,2.191820695e-05
GPU=NVIDIA A100 80GB PCIe MIG 1g.10gb CC=8.0 size=4096 splits=4
size,splits,D,retained_pairs,total_pairs,time_ms,gflops,max_abs_err,l2_rel_err
4096,4,1,1,16,11.817100,11630.51,6.605565322e-01,5.566357524e-03
4096,4,2,3,16,18.422994,7460.19,3.101298087e-03,2.683855789e-05
4096,4,3,6,16,27.706501,4960.53,1.388259194e-05,1.219990939e-07
4096,4,4,10,16,39.521787,3477.55,6.194418489e-08,5.369745565e-10
4096,4,5,13,16,48.786052,2817.18,4.339871751e-08,3.396649637e-10
4096,4,6,15,16,55.354450,2482.89,4.345009685e-08,3.396624575e-10
4096,4,7,16,16,59.458282,2311.52,4.345016791e-08,3.396624596e-10
GPU=NVIDIA A100 80GB PCIe MIG 1g.10gb CC=8.0 size=4096 splits=6
size,splits,D,retained_pairs,total_pairs,time_ms,gflops,max_abs_err,l2_rel_err
4096,6,1,1,36,14.605879,9409.84,6.605565322e-01,5.566357524e-03
4096,6,2,3,36,21.140176,6501.32,3.101298087e-03,2.683855789e-05
4096,6,3,6,36,30.348961,4528.62,1.388259194e-05,1.219990939e-07
4096,6,4,10,36,42.201585,3256.72,6.194418489e-08,5.369745565e-10
4096,6,5,15,36,56.775327,2420.75,2.553050826e-10,2.315038138e-12
4096,6,6,21,36,74.128831,1854.06,1.179500941e-12,1.007642775e-14
4096,6,7,26,36,88.776462,1548.15,8.029132914e-13,5.681553397e-15
4096,6,8,30,36,100.530817,1367.13,8.029132914e-13,5.681527925e-15
4096,6,9,33,36,109.907361,1250.50,8.029132914e-13,5.681527927e-15
4096,6,10,35,36,116.371750,1181.03,8.029132914e-13,5.681527927e-15
4096,6,11,36,36,120.369831,1141.81,8.029132914e-13,5.681527927e-15
GPU=NVIDIA A100 80GB PCIe MIG 1g.10gb CC=8.0 size=4096 splits=8
size,splits,D,retained_pairs,total_pairs,time_ms,gflops,max_abs_err,l2_rel_err
4096,8,1,1,64,16.813584,8174.28,6.605565322e-01,5.566357524e-03
4096,8,2,3,64,23.398365,5873.87,3.101298087e-03,2.683855789e-05
4096,8,3,6,64,32.582252,4218.22,1.388259194e-05,1.219990939e-07
4096,8,4,10,64,44.404387,3095.17,6.194418489e-08,5.369745565e-10
4096,8,5,15,64,59.004326,2329.30,2.553050826e-10,2.315038138e-12
4096,8,6,21,64,76.185810,1804.00,1.179500941e-12,1.007642775e-14
4096,8,7,28,64,96.058016,1430.79,6.252776075e-13,2.138953889e-15
4096,8,8,36,64,118.401913,1160.78,6.252776075e-13,2.138752377e-15
4096,8,9,43,64,138.432721,992.82,6.252776075e-13,2.138752377e-15
4096,8,10,49,64,155.778565,882.27,6.252776075e-13,2.138752377e-15
4096,8,11,54,64,170.090570,808.03,6.252776075e-13,2.138752377e-15
4096,8,12,58,64,182.475352,753.19,6.252776075e-13,2.138752377e-15
4096,8,13,61,64,191.256104,718.61,6.252776075e-13,2.138752377e-15
4096,8,14,63,64,198.028186,694.04,6.252776075e-13,2.138752377e-15
4096,8,15,64,64,202.496963,678.72,6.252776075e-13,2.138752377e-15
